ASOCIACION,SIGLAS,TIPO,DOMICILIO,CP,PREFIJO,TELEFONO,E-MAIL,DISTRITO, CLASIFICADA EN
ASOCIACION GALLEGA CORREDOR DEL HENARES,,,C/ CAMPO REAL 1 Bº,28806,,670 58 86 67,galiciahenares@hotmail.com,VIII,CASAS REGIONALES
ASOCIACION HOGAR DE AVILA,,,C/ TENIENTE RUIZ 4,28805,91,878 73 87,info@inmoinverhouse.com,VI,CASAS REGIONALES
CASA DE ANDALUCIA DE ALCALA DE HENARES,,,C/ PORTILLA  39  CENTRO COMUNIDADES ,28801,91,889 41 76,,I,CASAS REGIONALES
CASA DE ARAGON DEL HENARES,,,C/ ALALPARDO S/N,28806,91,883 04 44,aragonesesenalcala@hotmail.com,VIII,CASAS REGIONALES
CASA DE ASTURIAS DE ALCALA DE HENARES,,,RONDA DE PESCADERIA 26 CENTRO COMUNIDADES ,28801,91,889 78 21,,I,CASAS REGIONALES
CASA DE SORIA EN ALCALA DE HENARES,,,AVDA COMPLUTENSE 42 LOCAL 30,28805,91,883 18 29 ,,VI,CASAS REGIONALES
CENTRO CASTELLANO LEONES,,,C/ LICENCIADO VIDRIERA S/N CENTRO COMUNIDADES ,28801,91,883 00 88,,I,CASAS REGIONALES
CENTRO CASTILLA - LA MANCHA,,,C/ PORTILLA 41 CENTRO COMUNIDADES ,28801,91,881 73 18,clm-alcala@telefonica.net,I,CASAS REGIONALES
CENTRO EXTREMEÑO,,,RONDA DE PESCADERIA 26 CENTRO COMUNIDADES ,28801,91,889 58 15,cexalcala@bme.es,I,CASAS REGIONALES
AGRUPACION ASTRONOMICA COMPLUTENSE,AAC,astronomía,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,,V,CULTURALES
AGRUPACION DE ZARZUELA ALCALA DE HENARES,,musica,C/ GINER DE LOS RIOS 6 1º,28804,,675 69 51 05,zarzuelaalcaladehenares@hotmail.com,V,CULTURALES
AGUILA BLANCA,,general,PLAZA DEL BARRO 2 3º B,28803,,606 23 77 46,info@aguilablanca.org,III,CULTURALES
ALDEBARAN SOCIAL,,varios,ANDREA DORIA 13 9º B2,28804,,677 63 90 17,aldebaransocial@hotmail.com,V,CULTURALES
ANTIGUAS ALUMNAS FILIPENSES,,educativa,C/ ESCRITORIOS 4-6,28801,91,888 11 87,,I,CULTURALES
ARTE A MANO (ASOCIACION DE ARTESANOS ARTISTAS EN ALCALA),,bellas artes,PLAZA DE LOS IRLANDESES 2 2º A,28801,,654 50 30 37,info@arteamano.net,I,CULTURALES
ASOCIACION AFRICA HERITAGE DE ALCALA,,general,C/ SAN FRUCTUOSO 8 Bº B,28802,,626 80 86 01,stgahdt@yahoo.co.uk,II,CULTURALES
