"codImport";"idEntImport";"nombre";"nombre corto";"descripción";"fechaConstitucion";"nombreDireccion";"direccion";"detalleDireccion";"direccionBreve";"cp";"ciudad";"lat";"lon";"email";"Telefono";"Pagina web";"Facebook";"Twitter";"tipo";"clasificacion";"created";"tipoCTS";"tipo_space";"tipo_topic";"tipo_agent";"direccionCompleta"
"CIVICS";16;"Agrupación Deportiva Simancas";;"Escuela deportiva del barrio de Simancas, en San Blas, nacida en 1990. Centenares de chicas y de chicos han aprendido a jugar a fútbol en esta escuela de barrio. ";;;"C/ Mieres, 15";;;;"Madrid";"40.428819";"-3.629663";"jesusdejose@adaesimancas.com";;;;"@SimancasADAE";;;"2015-06-16 20:05:45+00";"colectivo";"Otros";"Otra";"Administración Pública";"Campamento, España"
"CIVICS";17;"Centro Social La Traba ";;"El antiguo cine Candilejas es el nuevo ""hogar"" del Centro Social La Traba, que plantea proyectar películas, organizar representaciones teatrales y construir una pista de skate, además de las iniciativas que planteen el vencindario y los colectivos del entorno.   ";;"Centro Social La Traba ";"Plaza Luca de Tena";;;;"Madrid";"40.401456";"-3.693406";;;"http://csolatraba.nuevaradio.org/";"https://www.facebook.com/csoa.latraba";"@csolatraba ";"Centro Social";;"2015-06-16 20:05:45+00";"colectivo";"Medios de Comunicación Vecinales";"Política y Gobernanza";"Asambleas Populares, Mareas, Plataformas y Grupos de Trabajo";"Avda. de Daroca, 90, 28017 Madrid, España"
"CIVICS";18;"Cabaret Flotante ";;"Cabaret Jam Session. En la que todo tipo de disciplina artística es bienvenida! Nace en 2010 y tiene una gran afluencia de público. Abierto a la participación de músicos con una plataforma de partituras libres para la inclusión de todos los que deseen participar. Es todos los años en junio.";;;"Lago de la Casa de Campo, Casa de Campo";;;;"Madrid";"40.418924";"-3.732704";"piatedesco@yahoo.es";;;"https://www.facebook.com/CabaretFlotante";"@CabaretFlotante";"Asociación Cultural";;"2015-06-16 20:05:45+00";"organizacion";"Trabajo Colaborativo";"Ecología Urbana y Consumo";"Empresa Social";
"CIVICS";364;"Liga Cooperativa de Fútbol Sala";;"Liga cooperativa y autogestionada que trabaja por generar una alternativa de ocio sano y gratuito en los barrios Hortaleza y Chamartín y protestar por los precios abusivos y por la subida progresiva de precios para participar en competiciones deportivas del Ayuntamiento de Madrid.";;;"C/ Rosa Jardón, 12";;;;"Madrid";"40.465302";"-3.668697";"ligafutbolsalacooperativa@gmail.com";;"http://ligafutbolsalacooperativa.org/";"https://www.facebook.com/ligafutbolsalacooperativa";"@futbolsalaliga";"Espacio Vecinal";"Cultura";"2015-06-16 20:05:45+00";"colectivo";"Otros";"Deporte";"Organizaciones y Asociaciones de Vecinos";"Avda. Carabanchel Alto, 64, 28054 Madrid, España"
"CIVICS";365;"Escuela Popular La Prospe";;"La Escuela Popular de Prosperidad es un proyecto pedagógico y social que surge por iniciativa popular en 1973 en el barrio madrileño de Prosperidad. Un proyecto de educación iniciado, por lo tanto, por gente del barrio, con gente del barrio y para la gente de ese y cualquier otro barrio.";;"Escuela Popular La Prospe";"C/ Luis Cabrera, 19";;;;"Madrid";"40.442048";"-3.675933";"prospe@nodo50.org";;"http://prosperesiste.nodo50.org/ /";;;"Empresa Social";"Educación";"2015-06-16 20:05:45+00";"colectivo";"Centro Social";"Otra";"Organizaciones y Asociaciones de Vecinos";"Avda. de Daroca, 49, 28017 Madrid, España"
"CIVICS";367;"La Casa del Barrio";;"Colectivo autogestionado e independiente basado en la horizontalidad y en la asamblea como método organizativo que pretende crear un espacio abierto para construir cultura colectiva en el barrio de Carabanchel. La Asociación Cultural Casa del Barrio es el motor de la Casa del Barrio organizando los espacios, las salas y generando actividades para todas las personas del barrio.";;"La Casa del Barrio";"Avda. de Carabanchel Alto, 64";;;;"Madrid";"40.369876";"-3.753279";"info@casadelbarriocarabanchel.es";;"http://casadelbarriocarabanchel.es/";"https://www.facebook.com/casadelbarrio.carabanchel";"@CasaDelBarrio";;"Derechos Humanos";"2015-06-16 20:05:45+00";"colectivo";"Otros";"Apoyo Mutuo y Cuidados";"Conquistas Ciudadanas del Pasado";
"CIVICS";369;"Grupo de postparto y crianza Si los hombres hablasen";;"Grupo de hombres que se reúne dos veces al mes en un local de Madrid para intentar poner en común herramientas, fórmulas o mecanismos útiles para el embarazo de sus mujeres y la crianza de sus hijos. ";;;"C/ Trafalgar, 12";;;;"Madrid";"40.43172";"-3.700367";;;;"https://www.facebook.com/groups/siloshombreshablasen";"@siloshombres";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Cultura Libre";"Iniciativa Ciudadana";
"CIVICS";370;"Lucero Activo";;"Grupo de trabajadores desmpleados del barrio de Lucero que tiene como fin principal conseguir un empleo por cuenta propia o ajena a partir de presupuestos de apoyo mutuo. Dan una importancia central a la mejora de la formación que resuelven compartiendo sus saberes.  ";;;"C/ Alhambra, 21";;;;"Madrid";"40.403006";"-3.744766";"lucero.activo@gmail.com";;"http://avvlucero.org/";"https://www.facebook.com/avv.lucero";;"Apoyo Mutuo";"Social";"2015-06-16 20:05:45+00";"colectivo";"Otros";"Política y Gobernanza";"Asambleas Populares, Mareas, Plataformas y Grupos de Trabajo";
"CIVICS";371;"Plataforma Salvemos el Frontón Beti Jai";;"Plataforma ciudadana que trabaja por lograr la rehabilitación y conservación del frontón Beti Jai, una instalación deportiva en la que se practicaba la pelota vasca en el siglo XIX. El espacio, abandonado desde hace años, es una suma de estilos arquitectónicos: el clecticismo de la fachada principal, el neomudéjar presente en algunas partes del interior y la arquitectura del hierro característica del siglo XIX.";;;"C/ Marqués de Riscal, 7";;;;"Madrid";"40.430667";"-3.691251";"betijaimadrid@gmail.com";;"http://frontonbetijaimadrid.org/";"https://www.facebook.com/frontonbetijai";"@betijaimadrid";"Espacio Vecinal";;"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Organizaciones y Asociaciones de Vecinos";"Avda. de los Fueros, 36, 28041 Madrid, España"
"CIVICS";373;"La Nave - Granja Urbana";;"Espacio de creación multidisciplinar donde poder explorar tus posibilidades creativas.";;;"Avda. de Daroca, 49";;;;"Madrid";"40.429346";"-3.652018";;;;"https://www.facebook.com/Lanave.talleres";"@_lanave";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Apoyo Mutuo y Cuidados";"Asambleas Populares, Mareas, Plataformas y Grupos de Trabajo";
