"codImport";"idEntImport";"nombre";"nombreCorto";"fechaConstitucion";"nombreDireccion";"detalleDireccion";"direccion";"direccionBreve";"cp";"ciudad";"email";"telefono";"url";"facebook";"twitter";"clasificacion";"tipo";"descBreve"
"GUADA";"001";"Asociación de Pensionistas por Enfermedad e Invalidez";;;"Centro Social Cifuentes";;"Calle Cifuentes, 26";;"19003";"Guadalajara";;"949010380";;;;"Mayores";;
"GUADA";"002";"Asociación de Pensionistas y Tercera Edad";"ASVAT";;"Centro Social Cifuentes";;"Calle Cifuentes, 26";;"19003";"Guadalajara";;"949217792, 949010380";;;;"Mayores";;
"GUADA";"003";"Asociación de Jubilados y Pensionistas Los Manantiales";;;"Centro Social Los Manantiales";;"Calle Buenafuente, s/n";;"19004";"Guadalajara";;"949201509";;;;"Mayores";;
"GUADA";"004";"Asociación de Jubilados y Pensionistas de Usanos";;;"Centro Social Usanos";;"Plaza Mayor, 1";;"19181";"Usanos";;;;;;"Mayores";;
"GUADA";"005";"Asociación de Jubilados Colonia y Era del Canario";;;"Centro Social Venezuela";;"Avenida de Venezuela, 5";;"19005";"Guadalajara";;"949211390";;;;"Mayores";;
"GUADA";"006";"Asociación Hogar del Jubilado de Taracena";;;"Centro Social Taracena";;"Calle de Real, 3";;"19193";"Guadalajara";;"949253535";;;;"Mayores";;
"GUADA";"007";"Asociación de Jubilados y Pensionistas de Valdenoches";;;"Centro Social Taracena";;"Calle de Real, 3";;"19197";"Guadalajara";;"949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307949208154
609115307";;;;"Mayores";;
"GUADA";"008";"Asociación de Jubilados y Pensionistas Fuente de la Niña";;;"Centro Social Adoratrices";;"Calle Adoratrices, 37";;"19002";"Guadalajara";;;;;;"Mayores";;
"GUADA";"009";"Federación de Jubilados, Pensionistas y Tercera Edad Alcarreña";;;;;"Calle Gustavo Adolfo Bécquer, 6 - local 5";"Calle Gustavo Adolfo Bécquer, 6";"19004";"Guadalajara";"federacionalcar@hotmail.com";"949208154";"www.federacionalcarrena.com";;;"Mayores";;
"GUADA";"010";"Asociación de Jubilados, Pensionistas y Tercera Edad Ramón de Garciasol";;;;;"Avenida de Pedro San Vazquez, 21";;"19004";"Guadalajara";;"650785097";;;;"Mayores";;
"GUADA";"011";"Asociación de Jubilados y Pensionistas  La Amistad";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";;"949223818";;;;"Mayores";;
"GUADA";"012";"Asociación Hogar del Jubilado Castilla";;;;;"Calle General Moscardó Guzmán, 39 bis";;"19004";"Guadalajara";;"949214810";;;;"Mayores";;
"GUADA";"013";"Asociación de Prejubilados, Jubilados y Pensionistas - MCA UGT Castilla La Mancha";;;"Palacio del Infantado";"2ª planta";"Plaza de los Caídos, 11";;"19001";"Guadalajara";;"949213807";;;;"Mayores";;
"GUADA";"014";"Asociación de Pensionistas y Jubilados El Doncel";;;"Centro Social Cifuentes";;"Calle Cifuentes, 26";;"19003";"Guadalajara";"udpguadalajara@gmail.com";"949030551";;;;"Mayores";;
